,id,prod_name,winery,wine_type,score,price,flavor1,flavor2,prod_link
905,23467532,Barolo 2007,Prunotto,Red wine,4.0,150000,"cherry, strawberry, red...",0,https://www.vivino.com/prunotto-barolo/w/61134?year=2007&price_id=23467532
906,23467533,Barolo 2008,Prunotto,Red wine,4.0,150000,"cherry, strawberry, red...",0,https://www.vivino.com/prunotto-barolo/w/61134?year=2008&price_id=23467533
907,23467534,Barolo 2009,Prunotto,Red wine,3.9,150000,"cherry, strawberry, red...",0,https://www.vivino.com/prunotto-barolo/w/61134?year=2009&price_id=23467534
908,23467537,Barolo 2012,Prunotto,Red wine,3.9,150000,"cherry, strawberry, red...",0,https://www.vivino.com/prunotto-barolo/w/61134?year=2012&price_id=23467537
909,23467538,Barolo 2013,Prunotto,Red wine,4.0,150000,"cherry, strawberry, red...",0,https://www.vivino.com/prunotto-barolo/w/61134?year=2013&price_id=23467538
910,23467540,Barolo 2016,Prunotto,Red wine,4.2,150000,,0,https://www.vivino.com/prunotto-barolo/w/61134?year=2016&price_id=23467540
911,23467541,Barolo 2017,Prunotto,Red wine,4.2,150000,,0,https://www.vivino.com/prunotto-barolo/w/61134?year=2017&price_id=23467541
912,23467542,Barolo 2018,Prunotto,Red wine,4.1,150000,"cherry, strawberry, red...",0,https://www.vivino.com/prunotto-barolo/w/61134?year=2018&price_id=23467542
913,23467543,Barolo 2019,Prunotto,Red wine,4.1,150000,"cherry, strawberry, red...",0,https://www.vivino.com/prunotto-barolo/w/61134?year=2019&price_id=23467543
914,23467565,Chardonnay 2009,Teeter-Totter,White wine,4.1,130000,"oak, butter, vanilla",0,https://www.vivino.com/teeter-totter-chardonnay/w/4806486?year=2009&price_id=23467565
915,23467566,Chardonnay 2010,Teeter-Totter,White wine,4.1,130000,"oak, butter, vanilla",0,https://www.vivino.com/teeter-totter-chardonnay/w/4806486?year=2010&price_id=23467566
916,23467567,Chardonnay 2011,Teeter-Totter,White wine,4.1,130000,"oak, butter, vanilla",0,https://www.vivino.com/teeter-totter-chardonnay/w/4806486?year=2011&price_id=23467567
917,23467568,Chardonnay 2012,Teeter-Totter,White wine,4.1,130000,"oak, butter, vanilla",0,https://www.vivino.com/teeter-totter-chardonnay/w/4806486?year=2012&price_id=23467568
918,23467569,Chardonnay 2013,Teeter-Totter,White wine,4.3,130000,,0,https://www.vivino.com/teeter-totter-chardonnay/w/4806486?year=2013&price_id=23467569
919,23467571,Chardonnay 2015,Teeter-Totter,White wine,4.5,130000,,0,https://www.vivino.com/teeter-totter-chardonnay/w/4806486?year=2015&price_id=23467571
920,23467576,Pinot Gris Alsace Réserve Personnelle 2005,Trimbach,White wine,4.3,110000,,0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2005&price_id=23467576
921,23467577,Pinot Gris Alsace Réserve Personnelle 2006,Trimbach,White wine,4.1,110000,"peach, pear, apricot",0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2006&price_id=23467577
922,23467578,Pinot Gris Alsace Réserve Personnelle 2007,Trimbach,White wine,3.9,110000,,0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2007&price_id=23467578
923,23467579,Pinot Gris Alsace Réserve Personnelle 2008,Trimbach,White wine,4.2,110000,,0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2008&price_id=23467579
924,23467580,Pinot Gris Alsace Réserve Personnelle 2009,Trimbach,White wine,4.1,110000,"peach, pear, apricot",0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2009&price_id=23467580
925,23467581,Pinot Gris Alsace Réserve Personnelle 2010,Trimbach,White wine,4.1,110000,"peach, pear, apricot",0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2010&price_id=23467581
926,23467582,Pinot Gris Alsace Réserve Personnelle 2011,Trimbach,White wine,4.1,110000,"peach, pear, apricot",0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2011&price_id=23467582
927,23467583,Pinot Gris Alsace Réserve Personnelle 2012,Trimbach,White wine,4.1,110000,"peach, pear, apricot",0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2012&price_id=23467583
928,23467584,Pinot Gris Alsace Réserve Personnelle 2013,Trimbach,White wine,4.1,110000,"peach, pear, apricot",0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2013&price_id=23467584
929,23467585,Pinot Gris Alsace Réserve Personnelle 2014,Trimbach,White wine,4.0,110000,"peach, pear, apricot",0,https://www.vivino.com/trimbach-alsace-pinot-gris-alsace-reserve-personnelle/w/1191381?year=2014&price_id=23467585
930,23541465,1865 Unique Cabernet Sauvignon 2005,San Pedro,Red wine,3.9,21465,"oak, vanilla, tobacco",0,https://www.vivino.com/san-pedro-central-valley-eighteen-sixtyfive-unique-cabernet-sauvignon-maipo-valley/w/6604109?year=2005&price_id=23541465
931,23541642,Coniglio Chardonnay 2015,Morton Estate,White wine,4.2,77804,,0,https://www.vivino.com/morton-estate-coniglio-hawke-s-bay-chardonnay/w/1120300?year=2015&price_id=23541642
932,23630013,Barolo 2014,Roberto Sarotto,Red wine,4.1,59000,"vanilla, oak, tobacco",0,https://www.vivino.com/roberto-sarotto-barolo/w/3156614?year=2014&price_id=23630013
933,23630016,Barolo 2011,Roberto Sarotto,Red wine,4.1,59000,"vanilla, oak, tobacco",0,https://www.vivino.com/roberto-sarotto-barolo/w/3156614?year=2011&price_id=23630016
934,23630017,Barolo 2010,Roberto Sarotto,Red wine,4.1,59000,"vanilla, oak, tobacco",0,https://www.vivino.com/roberto-sarotto-barolo/w/3156614?year=2010&price_id=23630017
935,23660421,Memoro Rosso ,Piccini,Red wine,3.8,26325,,0,https://www.vivino.com/piccini-memoro-rosso-tuscany/w/1155726?price_id=23660421
936,23660422,Domaene Gobelsburg Grüner Veltliner 2019,Schloss Gobelsburg,White wine,3.8,35639,,0,https://www.vivino.com/schloss-gobelsburg-domaene-gobelsburg-gruner-veltliner/w/20131?year=2019&price_id=23660422
937,23660423,Laborde Double Select Syrah 2017,Luca,Red wine,4.2,46574,,0,https://www.vivino.com/luca-laborde-double-select-syrah/w/1126551?year=2017&price_id=23660423
938,23660424,Rouge 2018,Claude Val,Red wine,3.7,19440,,0,https://www.vivino.com/claude-val-rouge/w/1207933?year=2018&price_id=23660424
939,23660425,Gran Reserva Chardonnay 2018,Tarapacá,White wine,3.8,40094,,0,https://www.vivino.com/tarapaca-gran-reserva-chardonnay/w/1162632?year=2018&price_id=23660425
940,23868213,Napa Valley Cabernet Sauvignon 2018,Beaulieu Vineyard (BV),Red wine,4.2,150000,,0,https://www.vivino.com/beaulieu-vineyard-napa-valley-cabernet-sauvignon/w/1133793?year=2018&price_id=23868213
941,23868214,Napa Valley Cabernet Sauvignon 2020,Beaulieu Vineyard (BV),Red wine,3.9,150000,"oak, chocolate, vanilla",0,https://www.vivino.com/beaulieu-vineyard-napa-valley-cabernet-sauvignon/w/1133793?year=2020&price_id=23868214
942,23868242,Gran Reserva 2005,Escudo Rojo,Red wine,3.9,100000,,0,https://www.vivino.com/escudo-rojo-gran-reserva/w/4217?year=2005&price_id=23868242
943,23868249,Gran Reserva 2014,Escudo Rojo,Red wine,3.7,100000,,0,https://www.vivino.com/escudo-rojo-gran-reserva/w/4217?year=2014&price_id=23868249
944,23868250,Gran Reserva 2015,Escudo Rojo,Red wine,3.8,100000,,0,https://www.vivino.com/escudo-rojo-gran-reserva/w/4217?year=2015&price_id=23868250
945,23889367,Safràn Pinot Grigio 2020,La Bollina,White wine,3.8,13872,,0,https://www.vivino.com/la-bollina-safran-pinot-grigio/w/6712765?year=2020&price_id=23889367
946,23905354,Barolo Cascina Nuova 2015,Elvio Cogno,Red wine,4.0,99223,"leather, earthy, tar",0,https://www.vivino.com/elvio-cogno-barolo-cascina-nuova/w/21058?year=2015&price_id=23905354
