,ID,제품명,와이너리,종류,평점,가격,노트,노트2,상세
43,30262909,Gigondas Le Lieu Dit 2018,Domaine des Bosquets,Red wine,4.4,66922,,,https://www.vivino.com/bosquets-gigondas-le-lieu-dit/w/1319449?year=2018&price_id=30262909
44,14550058,Colli Della Toscana Centrale Cignale 2006,Castello di Querceto,Red wine,4.4,129598,,,https://www.vivino.com/castello-di-querceto-colli-della-toscana-centrale-cignale/w/15627?year=2006&price_id=14550058
45,24691977,Bella Reserve 2019,Mondillo,Red wine,4.4,93366,,,https://www.vivino.com/nz-mondillo-bella-reserve-otago/w/4115571?year=2019&price_id=24691977
46,31315738,Bella Reserve 2021,Mondillo,Red wine,4.4,93366,,,https://www.vivino.com/nz-mondillo-bella-reserve-otago/w/4115571?year=2021&price_id=31315738
47,14650423,Liguai 2006,Perez Cruz,Red wine,4.4,48599,,,https://www.vivino.com/perez-cruz-maipo-valley-liguai/w/96488?year=2006&price_id=14650423
48,31354654,Chateau de Chassagne-Montrachet Rouge 2016,Bader-Mimeur,Red wine,4.4,120000,,,https://www.vivino.com/bader-mimeur-chateau-de-chassagne-montrachet-rouge/w/3546880?year=2016&price_id=31354654
49,2754201,Barolo Cerequio 2001,Michele Chiarlo,Red wine,4.4,116638,,,https://www.vivino.com/michele-chiarlo-barolo-cerequio/w/86578?year=2001&price_id=2754201
50,2754468,Colli Della Toscana Centrale Il Sole di Alessandro 2005,Castello di Querceto,Red wine,4.4,141748,,,https://www.vivino.com/castello-di-querceto-colli-della-toscana-centrale-il-sole-di-alessandro/w/1614485?year=2005&price_id=2754468
51,30876569,The Basket Press 2019,Clearview Estate,Red wine,4.4,140054,,,https://www.vivino.com/clearview-estate-the-basket-press/w/1392313?year=2019&price_id=30876569
52,33554785,Cuvée Aux Antipodes Blanc 2020,Prophet's Rock,White wine,4.4,80138,,,https://www.vivino.com/prophet-s-rock-cuvee-aux-antipodes-blanc/w/8341584?year=2020&price_id=33554785
53,31198168,Cuvée Aux Antipodes Blanc 2021,Prophet's Rock,White wine,4.4,80138,,,https://www.vivino.com/prophet-s-rock-cuvee-aux-antipodes-blanc/w/8341584?year=2021&price_id=31198168
54,27985316,LeChar Pinot Noir 2010,Mon Cheval,Red wine,4.4,53682,,,https://www.vivino.com/mon-cheval-lechar-pinot-noir/w/5461547?year=2010&price_id=27985316
55,29015849,Hercules 2018,Alpha Box & Dice,Red wine,4.4,130000,,,https://www.vivino.com/alpha-box-and-dice-hercules/w/3347194?year=2018&price_id=29015849
56,31354619,Chateau Buena Vista Cabernet Sauvignon Napa Valley 2012,Buena Vista,Red wine,4.4,150000,,,https://www.vivino.com/buena-vista-winery-chateau-buena-vista-cabernet-sauvignon-napa-valley/w/5261?year=2012&price_id=31354619
57,2895000,Malbec 2006,Renacer,Red wine,4.4,101248,,,https://www.vivino.com/renacer-malbec/w/2047676?year=2006&price_id=2895000
58,19190701,Pinot Gris Alsace Grand Cru Hengst 2011,Cave de Turckheim,White wine,4.4,72899,,,https://www.vivino.com/cave-de-turckheim-pinot-gris-alsace-grand-cru-hengst/w/87963?year=2011&price_id=19190701
59,24159848,Unánime Gran Vino Tinto 2005,Mascota Vineyards,Red wine,4.4,120000,,,https://www.vivino.com/mascota-vineyards-mendoza-unanime-gran-vino-tinto/w/2273763?year=2005&price_id=24159848
60,32705941,Velvet 2021,Mudbrick Vineyard,Red wine,4.4,113598,,,https://www.vivino.com/mudbrick-velvet-waiheke-island/w/1619936?year=2021&price_id=32705941
61,2873727,Alfa Spiga Ribera del Duero 2003,O. Fournier,Red wine,4.4,101248,,,https://www.vivino.com/o-fournier-alfa-spiga-ribera-del-duero/w/11391?year=2003&price_id=2873727
62,21493549,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2016,Antinori,Red wine,4.3,120000,,,https://www.vivino.com/antinori-tuscany-marchesi-antinori-tenuta-tignanello-marchese-antinori-chianti-classico-riserva/w/1654?year=2016&price_id=21493549
63,15466397,Grünlack Riesling Spätlese 2005,Schloss Johannisberg,White wine,4.3,72899,,,https://www.vivino.com/schloss-johannisberg-grunlack-riesling-spatlese/w/1608522?year=2005&price_id=15466397
64,15636924,Malbec 2015,Rutini,Red wine,4.3,68039,,,https://www.vivino.com/rutini-mendoza-malbec/w/16504?year=2015&price_id=15636924
65,31354623,Chateau Buena Vista Cabernet Sauvignon Napa Valley 2016,Buena Vista,Red wine,4.3,150000,,,https://www.vivino.com/buena-vista-winery-chateau-buena-vista-cabernet-sauvignon-napa-valley/w/5261?year=2016&price_id=31354623
66,21493518,Badia a Passignano Gran Selezione Chianti Classico 2016,Antinori,Red wine,4.3,140000,,,https://www.vivino.com/antinori-tuscany-marchesi-antinori-badia-a-passignano-gran-selezione-chianti-classico/w/1653?year=2016&price_id=21493518
